funded_amnt,int_rate,installment,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
6000.0,0.1559,209.73,1.0,1.0,36.0,16.0,1.0,1.0
1000.0,0.1499,277.29,1.0,1.0,36.0,15.0,0.0,3.0
3875.0,0.1499,134.31,1.0,1.0,36.0,15.0,0.0,2.0
6000.0,0.1499,207.97,1.0,0.0,36.0,15.0,1.0,3.0
1200.0,0.1366,40.82,1.0,1.0,36.0,13.0,1.0,1.0
4750.0,0.1714,169.69,1.0,1.0,60.0,19.0,0.0,2.0
10000.0,0.1559,349.55,0.0,1.0,36.0,16.0,1.0,1.0
26800.0,0.1431,627.91,1.0,1.0,60.0,14.0,1.0,1.0
25000.0,0.2899,760.89,1.0,1.0,36.0,1.0,1.0,4.0
14475.0,0.2299,1372.97,1.0,1.0,60.0,26.0,1.0,2.0
1000.0,0.1853999999999999,308.26,1.0,1.0,60.0,21.0,1.0,2.0
11700.0,0.2198999999999999,446.77,1.0,1.0,36.0,25.0,1.0,1.0
11325.0,0.1785999999999999,1372.97,1.0,1.0,60.0,20.0,1.0,2.0
6250.0,0.2899,203.12,1.0,1.0,36.0,8.0,0.0,1.0
28000.0,0.2598999999999999,838.17,1.0,1.0,60.0,34.0,1.0,2.0
20000.0,0.1366,461.85,1.0,1.0,60.0,13.0,1.0,3.0
35000.0,0.2557,1039.03,1.0,1.0,60.0,30.0,1.0,1.0
9900.0,0.2899,313.3,1.0,1.0,36.0,6.0,1.0,1.0
24000.0,0.1431,562.31,1.0,1.0,60.0,14.0,1.0,2.0
20000.0,0.1785999999999999,721.65,1.0,1.0,36.0,20.0,1.0,1.0
4750.0,0.1599,166.98,1.0,1.0,36.0,17.0,1.0,4.0
15000.0,0.2899,505.34,1.0,0.0,36.0,15.0,1.0,2.0
20625.0,0.2899,688.9,1.0,1.0,36.0,11.0,1.0,4.0
32000.0,0.1785999999999999,810.16,1.0,1.0,60.0,20.0,1.0,4.0
20000.0,0.1366,680.26,1.0,1.0,36.0,13.0,1.0,2.0
10800.0,0.2098999999999999,292.12,1.0,1.0,60.0,24.0,1.0,1.0
20000.0,0.2899,444.79,1.0,1.0,60.0,10.0,1.0,3.0
5000.0,0.2899,153.23,1.0,1.0,36.0,2.0,1.0,2.0
6225.0,0.1366,211.73,1.0,1.0,36.0,13.0,1.0,2.0
4000.0,0.1431,137.32,1.0,1.0,36.0,14.0,0.0,2.0
19500.0,0.2899,624.56,1.0,1.0,36.0,7.0,1.0,4.0
7000.0,0.2899,217.72,1.0,1.0,36.0,4.0,0.0,2.0
18000.0,0.2899,555.71,1.0,1.0,36.0,3.0,0.0,1.0
5000.0,0.1431,171.65,1.0,1.0,36.0,14.0,1.0,0.0
14000.0,0.2899,443.05,1.0,1.0,36.0,6.0,1.0,3.0
10000.0,0.1499,346.61,1.0,1.0,36.0,15.0,1.0,2.0
6000.0,0.2899,188.55,1.0,1.0,36.0,5.0,0.0,1.0
20000.0,0.2899,668.02,1.0,1.0,36.0,11.0,1.0,2.0
1000.0,0.1649,589.91,1.0,1.0,60.0,18.0,1.0,4.0
15000.0,0.1366,346.39,1.0,1.0,60.0,13.0,0.0,2.0
2500.0,0.2899,80.08,1.0,0.0,36.0,7.0,1.0,1.0
10000.0,0.2899,332.1,1.0,1.0,36.0,10.0,1.0,3.0
12675.0,0.2899,278.38,1.0,1.0,60.0,9.0,1.0,3.0
13000.0,0.2899,1372.97,1.0,1.0,36.0,9.0,1.0,4.0
25000.0,0.2899,760.89,1.0,1.0,36.0,1.0,1.0,2.0
20000.0,0.1999,529.77,1.0,1.0,60.0,23.0,1.0,2.0
9500.0,0.2899,300.65,1.0,1.0,36.0,6.0,0.0,1.0
1000.0,0.2198999999999999,966.47,1.0,1.0,60.0,25.0,1.0,4.0
14525.0,0.2899,1372.97,1.0,1.0,60.0,10.0,0.0,4.0
12000.0,0.1714,299.14,1.0,1.0,60.0,19.0,0.0,1.0
12000.0,0.2899,377.09,1.0,1.0,36.0,5.0,0.0,3.0
9000.0,0.1559,314.6,1.0,1.0,36.0,16.0,1.0,1.0
26050.0,0.1999,690.03,1.0,1.0,60.0,23.0,1.0,4.0
6000.0,0.2899,202.14,1.0,1.0,36.0,12.0,1.0,3.0
10000.0,0.2899,320.29,1.0,1.0,36.0,7.0,0.0,2.0
11200.0,0.1559,391.5,1.0,1.0,36.0,20.0,1.0,1.0
18000.0,0.2899,565.64,1.0,1.0,36.0,5.0,1.0,3.0
8500.0,0.1431,291.8,1.0,1.0,60.0,14.0,1.0,4.0
20000.0,0.1559,482.02,0.0,1.0,60.0,16.0,1.0,4.0
8000.0,0.2899,1372.97,1.0,1.0,36.0,1.0,0.0,4.0
15000.0,0.1853999999999999,385.33,1.0,1.0,60.0,21.0,0.0,3.0
21600.0,0.1559,520.58,1.0,0.0,60.0,16.0,1.0,3.0
18000.0,0.2899,551.61,1.0,1.0,36.0,2.0,0.0,2.0
35000.0,0.2899,1120.99,1.0,1.0,36.0,7.0,1.0,1.0
20000.0,0.2899,649.96,1.0,1.0,36.0,8.0,1.0,0.0
12000.0,0.1853999999999999,308.26,1.0,1.0,60.0,21.0,1.0,2.0
4000.0,0.1853999999999999,145.7,1.0,0.0,36.0,21.0,0.0,2.0
3500.0,0.2398999999999999,137.3,1.0,1.0,36.0,27.0,1.0,3.0
17425.0,0.1431,408.26,1.0,1.0,60.0,14.0,1.0,4.0
14000.0,0.2899,293.96,1.0,1.0,60.0,7.0,1.0,3.0
35000.0,0.1853999999999999,899.09,1.0,1.0,60.0,21.0,1.0,3.0
8000.0,0.1499,277.29,1.0,1.0,60.0,15.0,1.0,1.0
3500.0,0.2899,116.24,1.0,1.0,36.0,10.0,1.0,4.0
1000.0,0.1649,161.96,1.0,1.0,36.0,18.0,1.0,2.0
1500.0,0.2899,50.54,1.0,1.0,36.0,12.0,0.0,2.0
8275.0,0.1559,289.26,0.0,1.0,36.0,16.0,1.0,2.0
4250.0,0.1366,144.56,1.0,1.0,36.0,13.0,0.0,4.0
1000.0,0.1599,35.16,1.0,1.0,36.0,17.0,0.0,2.0
6000.0,0.2899,199.26,1.0,1.0,36.0,10.0,0.0,2.0
10000.0,0.1559,349.55,1.0,1.0,36.0,16.0,0.0,1.0
5000.0,0.2899,160.15,1.0,1.0,36.0,7.0,0.0,4.0
15000.0,0.2899,329.44,1.0,1.0,60.0,9.0,0.0,3.0
35000.0,0.1924,1372.97,1.0,1.0,36.0,22.0,1.0,4.0
35000.0,0.1559,1223.43,1.0,0.0,36.0,16.0,1.0,2.0
17925.0,0.2899,1372.97,1.0,1.0,36.0,11.0,1.0,2.0
21500.0,0.1366,496.49,1.0,1.0,60.0,13.0,1.0,3.0
5000.0,0.2899,154.37,1.0,1.0,36.0,5.0,0.0,3.0
21200.0,0.1431,727.77,1.0,1.0,36.0,14.0,1.0,2.0
16800.0,0.2899,368.97,1.0,1.0,60.0,9.0,1.0,1.0
12000.0,0.2899,272.98,1.0,1.0,60.0,12.0,1.0,1.0
10000.0,0.1366,340.13,1.0,0.0,36.0,13.0,1.0,2.0
10000.0,0.2899,314.25,1.0,1.0,36.0,5.0,1.0,4.0
1000.0,0.2899,408.52,1.0,1.0,36.0,5.0,0.0,2.0
34500.0,0.1366,1372.97,1.0,1.0,60.0,13.0,1.0,2.0
35000.0,0.1366,1190.45,1.0,1.0,36.0,13.0,0.0,2.0
15000.0,0.2899,322.34,1.0,1.0,60.0,8.0,1.0,1.0
11200.0,0.1599,272.31,1.0,1.0,60.0,17.0,1.0,1.0
3250.0,0.1785999999999999,1372.97,1.0,1.0,36.0,20.0,1.0,1.0
17500.0,0.2198999999999999,1372.97,1.0,1.0,60.0,25.0,1.0,3.0
11850.0,0.2899,399.22,1.0,1.0,60.0,12.0,1.0,3.0
5000.0,0.2398999999999999,196.14,1.0,0.0,36.0,27.0,1.0,3.0
19475.0,0.1785999999999999,702.71,1.0,1.0,36.0,20.0,1.0,3.0
34875.0,0.1853999999999999,1372.97,1.0,1.0,60.0,21.0,1.0,4.0
15000.0,0.1559,361.52,1.0,1.0,60.0,16.0,1.0,3.0
12000.0,0.1599,1372.97,1.0,1.0,60.0,17.0,0.0,2.0
20000.0,0.2899,622.04,0.0,1.0,36.0,4.0,1.0,4.0
14000.0,0.1366,323.3,1.0,1.0,60.0,13.0,1.0,4.0
1000.0,0.2899,253.18,1.0,1.0,36.0,6.0,0.0,2.0
10000.0,0.2899,334.01,1.0,1.0,36.0,11.0,0.0,3.0
9600.0,0.2899,307.48,1.0,1.0,36.0,7.0,1.0,2.0
25150.0,0.2899,835.22,1.0,1.0,36.0,10.0,1.0,1.0
5000.0,0.2899,168.45,1.0,1.0,36.0,12.0,0.0,4.0
12000.0,0.1366,277.11,1.0,1.0,60.0,13.0,1.0,2.0
8000.0,0.2899,269.52,1.0,1.0,36.0,12.0,0.0,1.0
28000.0,0.2899,864.44,1.0,1.0,36.0,3.0,1.0,2.0
11000.0,0.2899,226.59,1.0,1.0,60.0,6.0,1.0,4.0
20000.0,0.1785999999999999,506.35,1.0,1.0,60.0,20.0,1.0,2.0
10000.0,0.2899,334.01,1.0,1.0,36.0,11.0,1.0,3.0
15000.0,0.2899,471.37,1.0,1.0,36.0,5.0,1.0,3.0
19775.0,0.1714,492.95,1.0,1.0,60.0,19.0,1.0,4.0
12000.0,0.2899,404.27,0.0,1.0,36.0,12.0,0.0,1.0
7500.0,0.2899,240.22,1.0,1.0,36.0,7.0,0.0,0.0
15000.0,0.2899,498.15,1.0,1.0,36.0,10.0,1.0,1.0
21000.0,0.1649,743.39,1.0,1.0,36.0,18.0,1.0,1.0
5000.0,0.1499,173.31,1.0,1.0,36.0,15.0,0.0,4.0
6000.0,0.2899,192.17,1.0,1.0,60.0,7.0,1.0,4.0
18000.0,0.2899,551.61,1.0,1.0,36.0,2.0,0.0,3.0
10000.0,0.2899,336.9,1.0,1.0,36.0,12.0,1.0,2.0
23400.0,0.2899,749.47,1.0,1.0,36.0,7.0,1.0,1.0
10975.0,0.2899,1372.97,1.0,1.0,36.0,12.0,1.0,2.0
25000.0,0.2899,771.82,1.0,1.0,36.0,3.0,1.0,3.0
11950.0,0.2899,439.5,1.0,1.0,36.0,22.0,0.0,3.0
22000.0,0.1924,573.61,1.0,1.0,60.0,22.0,1.0,2.0
5000.0,0.2899,162.49,1.0,0.0,36.0,8.0,1.0,2.0
30000.0,0.1785999999999999,759.52,1.0,1.0,60.0,20.0,0.0,2.0
2400.0,0.2899,76.87,1.0,1.0,36.0,7.0,0.0,2.0
8400.0,0.1366,285.71,1.0,1.0,36.0,13.0,0.0,1.0
1200.0,0.2899,37.98,1.0,1.0,36.0,10.0,0.0,1.0
10000.0,0.2899,336.9,1.0,1.0,36.0,12.0,0.0,3.0
9000.0,0.2899,292.48,1.0,1.0,36.0,8.0,0.0,4.0
12000.0,0.1559,289.21,1.0,1.0,60.0,16.0,1.0,2.0
24500.0,0.1366,565.77,1.0,1.0,60.0,13.0,1.0,4.0
10000.0,0.2899,332.1,1.0,1.0,36.0,10.0,0.0,1.0
4000.0,0.1431,137.32,1.0,1.0,36.0,14.0,0.0,1.0
1000.0,0.1366,537.48,1.0,1.0,60.0,13.0,1.0,4.0
10200.0,0.1366,346.93,1.0,1.0,36.0,13.0,1.0,2.0
20000.0,0.1499,475.7,1.0,1.0,60.0,15.0,1.0,0.0
15000.0,0.1714,373.92,1.0,1.0,60.0,19.0,1.0,1.0
23700.0,0.2899,1372.97,1.0,1.0,36.0,8.0,1.0,3.0
30000.0,0.2899,629.91,1.0,1.0,60.0,7.0,1.0,4.0
1000.0,0.2899,842.23,1.0,1.0,36.0,12.0,1.0,4.0
15000.0,0.1649,1372.97,1.0,1.0,60.0,18.0,1.0,3.0
12000.0,0.1366,277.11,1.0,1.0,60.0,13.0,1.0,0.0
11950.0,0.1999,316.54,1.0,1.0,60.0,23.0,1.0,2.0
15000.0,0.2899,480.43,1.0,1.0,36.0,7.0,1.0,4.0
25000.0,0.2899,577.31,1.0,1.0,60.0,13.0,1.0,2.0
17400.0,0.2899,565.47,1.0,1.0,36.0,8.0,0.0,4.0
23475.0,0.2899,621.82,1.0,1.0,60.0,23.0,1.0,2.0
9400.0,0.1431,322.69,1.0,1.0,36.0,14.0,0.0,0.0
24000.0,0.1431,562.31,1.0,1.0,60.0,14.0,1.0,1.0
2000.0,0.2899,65.9,0.0,1.0,36.0,9.0,1.0,2.0
8000.0,0.2899,265.68,1.0,1.0,60.0,10.0,0.0,2.0
13375.0,0.2557,397.06,1.0,1.0,60.0,30.0,1.0,1.0
5000.0,0.2899,167.01,1.0,1.0,36.0,11.0,0.0,4.0
15000.0,0.2899,456.54,1.0,1.0,36.0,1.0,0.0,1.0
17000.0,0.2899,1372.97,1.0,1.0,36.0,12.0,1.0,4.0
25000.0,0.2098999999999999,676.2,1.0,1.0,60.0,24.0,1.0,2.0
18500.0,0.2899,585.46,1.0,1.0,36.0,6.0,1.0,2.0
8000.0,0.2899,265.68,1.0,1.0,36.0,10.0,1.0,1.0
20000.0,0.2899,640.57,1.0,1.0,36.0,7.0,1.0,2.0
10500.0,0.2899,220.47,1.0,1.0,60.0,7.0,1.0,4.0
3250.0,0.1559,113.61,1.0,1.0,36.0,20.0,0.0,3.0
25000.0,0.2899,555.99,1.0,1.0,60.0,10.0,1.0,4.0
16325.0,0.1559,393.45,1.0,1.0,60.0,16.0,1.0,1.0
20000.0,0.2899,1372.97,1.0,1.0,60.0,10.0,1.0,3.0
5000.0,0.2899,168.45,1.0,1.0,36.0,12.0,0.0,2.0
25000.0,0.2899,549.07,1.0,1.0,60.0,9.0,1.0,2.0
28000.0,0.2899,576.76,1.0,1.0,60.0,6.0,1.0,2.0
21000.0,0.2899,440.94,1.0,1.0,60.0,7.0,1.0,4.0
8000.0,0.2899,259.99,1.0,1.0,60.0,8.0,0.0,4.0
1600.0,0.1431,54.93,1.0,1.0,36.0,14.0,0.0,0.0
18150.0,0.2899,398.62,1.0,1.0,60.0,9.0,1.0,0.0
22500.0,0.2899,720.64,1.0,1.0,36.0,7.0,1.0,1.0
5450.0,0.2899,167.02,1.0,1.0,36.0,2.0,0.0,1.0
25000.0,0.2899,785.61,1.0,1.0,36.0,5.0,1.0,3.0
12000.0,0.2899,365.23,1.0,1.0,36.0,1.0,0.0,3.0
10000.0,0.1924,260.73,1.0,1.0,60.0,22.0,1.0,2.0
8650.0,0.1999,321.43,1.0,1.0,36.0,23.0,0.0,3.0
8000.0,0.2899,265.68,1.0,1.0,36.0,10.0,1.0,1.0
12000.0,0.1431,411.95,1.0,1.0,36.0,14.0,1.0,1.0
6000.0,0.2899,199.26,1.0,1.0,36.0,10.0,1.0,4.0
1200.0,0.1366,40.82,1.0,1.0,36.0,13.0,1.0,0.0
18000.0,0.2899,366.62,1.0,1.0,60.0,5.0,1.0,3.0
5000.0,0.1649,177.0,0.0,1.0,36.0,18.0,1.0,1.0
4000.0,0.1499,138.65,1.0,1.0,36.0,15.0,1.0,4.0
27750.0,0.1924,723.52,1.0,1.0,60.0,22.0,1.0,3.0
13750.0,0.2899,450.1,2.0,1.0,36.0,9.0,1.0,2.0
9500.0,0.2899,295.47,1.0,1.0,36.0,4.0,0.0,2.0
10000.0,0.1599,243.13,1.0,1.0,60.0,17.0,1.0,0.0
20000.0,0.2899,608.72,1.0,1.0,36.0,1.0,1.0,3.0
22000.0,0.2899,453.17,1.0,1.0,60.0,6.0,1.0,2.0
15000.0,0.2899,456.54,1.0,1.0,36.0,1.0,0.0,1.0
21575.0,0.1499,747.8,1.0,1.0,36.0,15.0,1.0,2.0
16000.0,0.2899,493.97,2.0,1.0,60.0,3.0,1.0,2.0
2500.0,0.2899,76.62,0.0,1.0,36.0,2.0,1.0,1.0
35000.0,0.2899,768.69,1.0,1.0,60.0,9.0,1.0,3.0
10400.0,0.2899,1372.97,1.0,1.0,36.0,6.0,0.0,1.0
15000.0,0.2899,557.38,2.0,1.0,36.0,23.0,1.0,2.0
12000.0,0.2899,365.23,1.0,1.0,36.0,1.0,0.0,4.0
16000.0,0.1366,369.48,1.0,1.0,60.0,13.0,0.0,3.0
8000.0,0.2899,248.82,1.0,1.0,36.0,4.0,0.0,2.0
15000.0,0.1853999999999999,385.33,1.0,1.0,60.0,21.0,1.0,3.0
11300.0,0.2899,348.86,1.0,1.0,36.0,3.0,0.0,4.0
12000.0,0.2899,400.82,1.0,1.0,60.0,11.0,1.0,3.0
1000.0,0.1431,477.17,1.0,1.0,36.0,14.0,1.0,1.0
20400.0,0.1599,495.98,1.0,1.0,60.0,17.0,1.0,2.0
14350.0,0.2098999999999999,388.14,1.0,1.0,60.0,24.0,1.0,2.0
4800.0,0.1431,164.78,1.0,1.0,36.0,14.0,0.0,1.0
20000.0,0.2899,617.46,1.0,1.0,36.0,3.0,1.0,1.0
9000.0,0.1431,308.96,1.0,1.0,36.0,14.0,1.0,4.0
16000.0,0.2899,490.32,1.0,1.0,36.0,2.0,0.0,2.0
5600.0,0.1499,194.1,1.0,1.0,36.0,15.0,1.0,0.0
16000.0,0.2899,497.63,1.0,1.0,36.0,4.0,0.0,2.0
9000.0,0.2899,277.86,1.0,1.0,36.0,3.0,0.0,2.0
16000.0,0.2899,359.08,1.0,1.0,60.0,11.0,1.0,2.0
20000.0,0.2899,617.46,1.0,1.0,36.0,3.0,1.0,2.0
11200.0,0.1366,380.95,1.0,1.0,36.0,13.0,1.0,2.0
11000.0,0.1499,261.64,1.0,1.0,60.0,15.0,1.0,2.0
11975.0,0.2098999999999999,451.1,1.0,1.0,36.0,24.0,1.0,4.0
8000.0,0.2899,253.18,1.0,1.0,36.0,6.0,0.0,1.0
15000.0,0.2899,498.15,1.0,1.0,36.0,10.0,1.0,3.0
11550.0,0.2899,383.58,1.0,0.0,36.0,10.0,1.0,1.0
20000.0,0.1714,714.45,1.0,0.0,36.0,19.0,0.0,3.0
14400.0,0.1366,489.79,1.0,1.0,36.0,13.0,1.0,2.0
24000.0,0.2899,759.52,1.0,1.0,36.0,6.0,1.0,4.0
17725.0,0.1853999999999999,455.33,1.0,0.0,60.0,25.0,0.0,4.0
10000.0,0.2899,1372.97,1.0,1.0,36.0,9.0,1.0,2.0
7000.0,0.2899,217.72,1.0,1.0,36.0,4.0,1.0,2.0
8000.0,0.2899,267.21,1.0,1.0,36.0,11.0,0.0,3.0
15600.0,0.2899,499.65,1.0,1.0,36.0,7.0,1.0,1.0
5000.0,0.1366,170.07,1.0,1.0,36.0,13.0,0.0,3.0
24000.0,0.2299,676.44,1.0,0.0,60.0,26.0,1.0,1.0
35000.0,0.1599,1230.33,1.0,1.0,36.0,17.0,1.0,4.0
14400.0,0.2899,309.45,1.0,1.0,60.0,8.0,1.0,2.0
25000.0,0.2899,537.23,1.0,1.0,60.0,8.0,1.0,4.0
8000.0,0.2899,265.68,1.0,1.0,36.0,10.0,0.0,3.0
6425.0,0.1649,227.45,1.0,1.0,36.0,18.0,1.0,3.0
3925.0,0.1853999999999999,142.97,1.0,1.0,36.0,21.0,0.0,4.0
18000.0,0.2899,386.81,1.0,1.0,60.0,8.0,0.0,2.0
12000.0,0.2899,395.37,0.0,1.0,36.0,9.0,0.0,3.0
22500.0,0.1499,779.86,1.0,1.0,36.0,15.0,1.0,2.0
27525.0,0.2899,894.5,1.0,1.0,36.0,8.0,1.0,3.0
19200.0,0.2899,588.38,1.0,1.0,36.0,2.0,1.0,2.0
15000.0,0.1431,514.93,1.0,1.0,36.0,15.0,1.0,2.0
15000.0,0.2899,505.34,1.0,1.0,36.0,12.0,0.0,2.0
20000.0,0.2899,649.96,1.0,1.0,36.0,8.0,1.0,3.0
1000.0,0.2899,124.41,1.0,1.0,36.0,4.0,0.0,1.0
5000.0,0.2899,1372.97,1.0,0.0,36.0,3.0,0.0,2.0
11000.0,0.2899,367.41,1.0,1.0,36.0,11.0,1.0,0.0
35000.0,0.1785999999999999,1262.88,1.0,1.0,36.0,20.0,1.0,2.0
5000.0,0.2899,153.23,0.0,1.0,36.0,2.0,1.0,4.0
10000.0,0.2899,308.73,1.0,1.0,36.0,3.0,0.0,2.0
20000.0,0.1366,680.26,1.0,1.0,36.0,13.0,1.0,0.0
7500.0,0.2899,249.08,1.0,1.0,36.0,10.0,0.0,1.0
21000.0,0.2899,672.6,1.0,1.0,36.0,7.0,1.0,1.0
32000.0,0.2299,901.92,1.0,1.0,60.0,26.0,0.0,1.0
28250.0,0.1853999999999999,725.69,0.0,1.0,60.0,21.0,1.0,2.0
6000.0,0.1853999999999999,218.55,1.0,1.0,36.0,25.0,1.0,2.0
20000.0,0.1599,486.26,1.0,1.0,60.0,17.0,1.0,0.0
12000.0,0.2899,367.74,1.0,1.0,36.0,2.0,0.0,1.0
